
1701941863161 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941863353 :: {'s': 'error', 'code': -300, 'message': ''}

1701941863940 :: history :: {'symbol': 'NSE:GUJGASLTD-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941864203 :: {'s': 'error', 'code': -300, 'message': ''}

1701941864785 :: history :: {'symbol': 'NSE:ATUL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941864996 :: {'s': 'error', 'code': -300, 'message': ''}

1701941865511 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941865716 :: {'s': 'error', 'code': -300, 'message': ''}

1701941866227 :: history :: {'symbol': 'NSE:HDFCLIFE-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941866442 :: {'s': 'error', 'code': -300, 'message': ''}

1701941866964 :: history :: {'symbol': 'NSE:BALRAMCHIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941867164 :: {'s': 'error', 'code': -300, 'message': ''}

1701941867673 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941867882 :: {'s': 'error', 'code': -300, 'message': ''}

1701941868411 :: history :: {'symbol': 'NSE:BHARATFORG-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941868647 :: {'s': 'error', 'code': -300, 'message': ''}

1701941869163 :: history :: {'symbol': 'NSE:IDFC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941869366 :: {'s': 'error', 'code': -300, 'message': ''}

1701941869876 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941870068 :: {'s': 'error', 'code': -300, 'message': ''}

1701941870581 :: history :: {'symbol': 'NSE:BHEL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941870782 :: {'s': 'error', 'code': -300, 'message': ''}

1701941871359 :: history :: {'symbol': 'NSE:BOSCHLTD-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941871576 :: {'s': 'error', 'code': -300, 'message': ''}

1701941872109 :: history :: {'symbol': 'NSE:BPCL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941872320 :: {'s': 'error', 'code': -300, 'message': ''}

1701941872860 :: history :: {'symbol': 'NSE:BRITANNIA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941873067 :: {'s': 'error', 'code': -300, 'message': ''}

1701941873582 :: history :: {'symbol': 'NSE:BSOFT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941873821 :: {'s': 'error', 'code': -300, 'message': ''}

1701941874361 :: history :: {'symbol': 'NSE:IDFCFIRSTB-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941874551 :: {'s': 'error', 'code': -300, 'message': ''}

1701941875058 :: history :: {'symbol': 'NSE:CANFINHOME-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941875335 :: {'s': 'error', 'code': -300, 'message': ''}

1701941875859 :: history :: {'symbol': 'NSE:INDHOTEL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941876069 :: {'s': 'error', 'code': -300, 'message': ''}

1701941876583 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941876780 :: {'s': 'error', 'code': -300, 'message': ''}

1701941877306 :: history :: {'symbol': 'NSE:COLPAL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941877701 :: {'s': 'error', 'code': -300, 'message': ''}
